Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.460918,639.648257,339.85,0.000000000,0.000837972,4.0001,0.020089,-4.0001,-4.0001,-4.0001,4.3086,6.483233,654.082475,-4.0001,0.000000,0.00,0.00
1,COUNT_DOWN,6.457103,637.212537,352.38,0.000000000,0.000826149,4.0002,0.019384,-4.0002,-4.0002,-4.0002,4.3085,6.467466,643.850370,-4.0002,0.000000,0.00,0.00
2,COUNT_DOWN,6.453039,634.628107,354.93,0.000000000,0.000822532,4.0003,0.018897,-4.0003,-4.0003,-4.0003,4.3084,6.473267,647.595713,-4.0003,0.000000,0.00,0.00
3,COUNT_DOWN,6.436000,623.906096,354.88,0.000000000,0.000818759,4.0004,0.022503,-4.0004,-4.0004,-4.0004,4.3084,6.481492,652.944441,-4.0004,0.000000,0.00,0.00
4,COUNT_DOWN,6.479969,651.950441,355.24,0.000000000,0.000817187,4.0005,0.023293,-4.0005,-4.0005,-4.0005,4.3083,6.479736,651.799063,-4.0005,0.000000,0.00,0.00
5,COUNT_DOWN,6.471868,646.690334,355.20,0.000000000,0.000813688,4.0006,0.026254,-4.0006,-4.0006,-4.0006,4.3082,6.497034,663.171478,-4.0006,0.000000,0.00,0.00
6,COUNT_DOWN,6.472664,647.205510,355.25,0.000000000,0.000810644,4.0007,0.024788,-4.0007,-4.0007,-4.0007,4.3082,6.478387,650.920086,-4.0007,0.000000,0.00,0.00
7,COUNT_DOWN,6.474863,648.630084,355.20,0.000000000,0.000810007,4.0008,0.031777,-4.0008,-4.0008,-4.0008,4.3081,6.492391,660.099849,-4.0008,0.000000,0.00,0.00
8,COUNT_DOWN,6.444475,629.216361,355.25,0.000000000,0.000806953,4.0009,0.028252,-4.0009,-4.0009,-4.0009,4.3081,6.485997,655.892694,-4.0009,0.000000,0.00,0.00
9,COUNT_DOWN,6.434030,622.678327,355.20,0.000000000,0.000808601,4.0010,0.027155,-4.0010,-4.0010,-4.0010,4.3080,6.463626,641.382745,-4.0010,0.000000,0.00,0.00
